Date,Open,High,Low,Close,Adj Close,Volume
2013-11-28,29600,29880,29580,29880,24039.81836,10644900
2013-11-29,29980,29980,29700,29880,24039.81836,6752200
2013-12-02,30000,30060,29340,29340,23605.36133,7487800
2013-12-03,29280,29560,29140,29220,23508.81836,7798600
2013-12-04,29000,29060,28620,28640,23042.17773,10844000
2013-12-05,28660,28920,28440,28800,23170.91016,10479650
2013-12-06,29080,29080,28560,28560,22977.81836,9147450
2013-12-09,28800,29080,28800,29080,23396.17969,6996900
2013-12-10,28820,29020,28620,28800,23170.91016,7755600
2013-12-11,28520,28880,28320,28400,22849.0957,10629150
2013-12-12,27920,28200,27920,28200,22688.18555,14962050
2013-12-13,28200,28220,27800,27800,22366.36719,10053250
2013-12-16,27820,28080,27660,28000,22527.27344,8954400
2013-12-17,28340,28340,27860,27900,22446.82422,7762400
2013-12-18,28100,28200,27880,28020,22543.36328,10899200
2013-12-19,28360,28680,28360,28540,22961.72852,10552400
2013-12-20,28260,28540,28260,28540,22961.72852,8407400
2013-12-23,28740,28760,28580,28660,23058.27539,10639200
2013-12-24,28600,28640,28300,28300,22768.63477,10980350
2013-12-26,28160,28300,28020,28160,22655.99805,12307800
2013-12-27,28200,28220,27900,27920,22685.25391,10510000
2013-12-30,27920,27940,27200,27440,22295.24609,16908100
2014-01-02,26960,27100,26040,26180,21271.48828,31025000
2014-01-03,26000,26220,25740,25920,21060.23438,26496600
2014-01-06,26060,26400,25920,26140,21238.98438,19735800
2014-01-07,26000,26360,25900,26080,21190.24023,19763200
2014-01-08,26000,26080,25740,25820,20978.98438,20474650
2014-01-09,26140,26140,25500,25500,20718.97852,21250950
2014-01-10,25500,25720,25440,25440,20670.23242,18189150
2014-01-13,25660,25940,25460,25900,21043.98438,16449350
2014-01-14,25940,26600,25800,26260,21336.48828,14716650
2014-01-15,26600,26620,25960,25980,21108.98438,11747450
2014-01-16,26000,26200,25860,26020,21141.48633,9752450
2014-01-17,26020,26300,25840,25840,20995.22461,12774250
2014-01-20,26100,26380,25920,26320,21385.24023,8682800
2014-01-21,26300,26540,26220,26480,21515.23438,7562300
2014-01-22,26280,26560,26240,26560,21580.23828,10826500
2014-01-23,26320,26440,25980,25980,21108.98438,10336950
2014-01-24,26000,26360,25820,26140,21238.98438,14001750
2014-01-27,25860,26080,25700,25840,20995.22461,13346300
2014-01-28,25460,25860,25460,25660,20848.98242,11701350
2014-01-29,25600,25760,25540,25600,20800.23047,19181850
2014-02-03,25720,25760,25420,25440,20670.23242,16259200
2014-02-04,25260,25260,24980,24980,20296.47461,16033000
2014-02-05,24900,25100,24680,24740,20101.46875,14926650
2014-02-06,24900,25340,24800,25180,20458.97852,15197450
2014-02-07,25500,25580,25260,25500,20718.97852,9943600
2014-02-10,25420,25620,25240,25540,20751.47656,7799650
2014-02-11,25620,26300,25440,26220,21303.99219,12684000
2014-02-12,26620,26620,26100,26140,21238.98438,10027400
2014-02-13,26000,26400,25800,25960,21092.73438,5838450
2014-02-14,25920,26160,25840,26020,21141.48633,6220750
2014-02-17,25840,26120,25600,25700,20881.48047,9386650
2014-02-18,25700,25980,25640,25900,21043.98438,5910650
2014-02-19,26000,26000,25600,25800,20962.72852,6179750
2014-02-20,25800,25920,25620,25720,20897.73242,9543300
2014-02-21,26660,26660,26000,26600,21612.74023,14346200
2014-02-24,26680,26900,26420,26560,21580.23828,7425050
2014-02-25,26640,26800,26520,26680,21677.73633,8785300
2014-02-26,26740,26860,26500,26840,21807.74219,12918050
2014-02-27,26700,26840,26600,26820,21791.49023,7891350
2014-02-28,26740,26980,26640,26980,21921.48828,14232350
2014-03-03,26720,26800,26420,26500,21531.48633,12104150
2014-03-04,26400,26580,26300,26300,21368.98633,7900150
2014-03-05,26700,26820,26600,26600,21612.74023,7491500
2014-03-06,26580,26580,26200,26520,21547.73242,8616750
2014-03-07,26780,26780,26580,26780,21758.99219,7548650
2014-03-10,26400,26600,26340,26400,21450.23242,8657600
2014-03-11,26400,26540,26180,26440,21482.73242,9079800
2014-03-12,26400,26400,25860,25880,21027.73047,12579250
2014-03-13,25880,26260,25800,25800,20962.72852,11750200
2014-03-14,25400,25700,25400,25500,20718.97852,10836800
2014-03-17,25500,25520,25160,25320,20572.72656,8820000
2014-03-18,25400,25660,25320,25560,20767.72656,11045600
2014-03-19,25600,25700,25360,25380,20621.47461,7638550
2014-03-20,25400,25440,25240,25240,20507.72266,5939400
2014-03-21,25380,25460,25240,25460,20686.47852,8321300
2014-03-24,25200,25480,25180,25460,20686.47852,7073900
2014-03-25,25380,25400,24820,24940,20263.97656,13625000
2014-03-26,25380,25800,24960,25700,20881.48047,17444700
2014-03-27,25800,26660,25700,26660,21661.49023,20877850
2014-03-28,26400,26760,26400,26700,21693.99219,10648700
2014-03-31,26900,26900,26440,26860,21823.99023,13259850
2014-04-01,26900,26900,26620,26780,21758.99219,11081000
2014-04-02,27000,27140,26860,27140,22051.49219,13100050
2014-04-03,27020,27900,27020,27800,22587.75195,19098800
2014-04-04,27540,27940,27540,27600,22425.24414,18400350
2014-04-07,27940,27940,27480,27940,22701.5,10761750
2014-04-08,27740,27980,27500,27880,22652.75,10608200
2014-04-09,27880,27900,27280,27420,22279,16061600
2014-04-10,27380,27600,27200,27600,22425.24414,9999200
2014-04-11,27240,27360,27180,27300,22181.49414,10659350
2014-04-14,27300,27720,27300,27400,22262.74414,10586000
2014-04-15,27720,27740,27380,27400,22262.74414,10969800
2014-04-16,27400,27840,27260,27600,22425.24414,9308550
2014-04-17,27520,27600,27320,27400,22262.74414,7241650
2014-04-18,27400,27580,27400,27560,22392.74609,9518350
2014-04-21,27580,27720,27500,27600,22425.24414,3299250
2014-04-22,27480,27680,27420,27500,22344,6084300
2014-04-23,27880,27900,27640,27780,22571.5,9500750
2014-04-24,28180,28180,27980,28140,22864.00195,10546200
2014-04-25,28400,28560,27960,27980,22734,15269800
2014-04-28,28080,28120,27640,27760,22555.25195,9431450
2014-04-29,27780,27900,27020,27200,22100.24414,10909200
2014-04-30,27600,27620,26520,26860,21823.99023,15047300
2014-05-02,27080,27180,26880,26920,21872.74414,14943350
2014-05-07,27000,27120,26800,26880,21840.24609,14189700
2014-05-08,27100,27100,26880,27000,21937.74219,16281900
2014-05-09,27120,27160,26520,26700,21693.99219,13157050
2014-05-12,26720,27900,26640,27760,22555.25195,15944800
2014-05-13,27760,28500,27760,28000,22750.25781,12107400
2014-05-14,28180,28300,28020,28300,22994.00586,11103750
2014-05-15,28280,28380,28060,28200,22912.75195,6806700
2014-05-16,28000,28740,27980,28560,23205.25586,15856500
2014-05-19,28560,29000,28160,28960,23530.25586,19281050
2014-05-20,28900,29080,28700,29020,23579.01172,16007300
2014-05-21,28700,29000,28700,28820,23416.50586,10842500
2014-05-22,28820,28960,28520,28520,23172.75391,9540000
